Time,Ticker,Mean,Std
105,ITB,7.141181071163768,16.503663447569153
110,ITB,7.516285359731173,16.91637552399423
115,ITB,7.86612777639253,17.374488016164708
120,ITB,8.19132519947552,17.82894501352213
5,VNQ,0.03951767322334919,2.884047547210908
10,VNQ,0.06466635785475065,4.091982400886365
15,VNQ,0.06279263105870074,4.963031343958136
20,VNQ,0.06300487029392633,5.663940556796743
25,VNQ,0.026152279555503723,6.2424474656014075
30,VNQ,0.012745082385008596,6.72929379920809
35,VNQ,0.0017522338392460873,7.1147230720155
90,VNQ,0.005054868757283802,10.102148255621174
95,VNQ,0.04663832385673139,10.38474590967149
100,VNQ,0.1014546929844721,10.720892937285067
105,VNQ,0.15242898460010593,11.10077512086566
110,VNQ,0.18651388245818365,11.549942888581096
115,VNQ,0.2096628915915722,12.065944748039696
120,VNQ,0.23558397336505124,12.56565109436383
5,IYE,0.5917087795425283,4.416200502154908
10,IYE,1.205779704055808,6.342216993823002
15,IYE,1.8423319397468896,7.834252733595277
20,IYE,2.5462208320919744,9.136295490092738
25,IYE,3.256242825028887,10.289191751841507
30,IYE,4.029734753027244,11.0949126739568
35,IYE,4.810030416964353,11.508630333268346
40,IYE,5.575502208823842,12.036689531448744
45,IYE,6.373483536831608,12.619328958010625
50,IYE,7.182598390426636,12.985626686413877
55,IYE,8.030311859282794,13.171383967282514
60,IYE,8.868118021451721,13.386227718220605
65,IYE,9.677659990387115,14.07428839536733
70,IYE,10.464822941222412,14.985804816952141
75,IYE,11.240454814560781,15.928888946947604
80,IYE,11.99320123408862,16.699422110967777
85,IYE,12.726031825536928,17.487829308085054
90,IYE,13.482224190211845,18.115462912980934
95,IYE,14.226959715800085,18.55247163235281
100,IYE,14.925624963398294,18.89123966483794
105,IYE,15.566272720945985,19.301526535950707
110,IYE,16.233912505228385,19.782541690192975
115,IYE,16.914166926361734,20.074263372987257
120,IYE,17.611102909163368,20.358312289091902
5,OIH,0.7291875689831165,6.345028506372287
10,OIH,1.5027119592686846,9.222808244582492
15,OIH,2.3274198464688016,11.62650680242135
20,OIH,3.2594633901270504,13.897024926633062
25,OIH,4.207372417113489,15.895575600953496
30,OIH,5.242981221126543,17.526037588704316
35,OIH,6.251546965350261,18.540778515288668
40,OIH,7.233851405069834,19.535565896413566
45,OIH,8.266490942551318,20.66156465621885
50,OIH,9.286138306778978,21.489473907687966
55,OIH,10.32392384145082,21.946716452831197
60,OIH,11.320475835127791,22.396898208728114
65,OIH,12.30722326240047,23.384824770178056
70,OIH,13.251344438292188,24.65158791025771
75,OIH,14.156349004736438,25.89864406315126
80,OIH,14.975464022120681,26.893210680273654
85,OIH,15.753270696331539,27.8149009689203
90,OIH,16.512119350223657,28.44049952541581
95,OIH,17.22893264635131,28.62483376375909
100,OIH,17.841815362463215,28.562169499364273
